Apr-29-07:32, /home/navneet/Classification1/EOBType_Classification/data/train/WGS, WGS, 0.992161711742
Apr-29-07:34, /home/navneet/Classification1/EOBType_Classification/data/train/WGS, WGS, 0.992161711742
Apr-29-07:38, /home/navneet/Classification1/EOBType_Classification/data/train/WGS, WGS, 0.992161711742
Apr-29-07:39, /home/navneet/Classification1/EOBType_Classification/data/train/WGS, WGS, 0.992161711742
Apr-29-07:40, /home/navneet/Classification1/EOBType_Classification/data/train/WGS, WGS, 0.992161711742
Apr-29-07:41, /home/navneet/Classification1/EOBType_Classification/data/train/WGS, WGS, 0.992161711742
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.14, WGS, 0.999907881021
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.14, WGS, 0.999907881021
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.11, WGS, 0.999997675419
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.5, WGS, 0.985250264406
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.12, WGS, 0.999699234962
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.6, WGS, 0.995934426785
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.10, WGS, 0.996803104877
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGA.1A, WGS, 0.979452162981
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.4, WGS, 0.922257483006
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.15, WGS, 0.9995855093
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.13, WGS, 0.999995231628
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.9, WGS, 0.999996185303
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.1, WGS, 0.991215378046
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.2, WGS, 0.98084244132
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.8, WGS, 0.998510420322
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.7, Unclassified, 0.78945171833
Apr-29-08:36, /home/navneet/test/gcs-bucket/sampleeob/WGS/WGS.3, Unclassified, 0.660047411919
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.13, SAG-AFTRA, 0.928595006466
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.7, SAG-AFTRA, 0.997926980257
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.14, SAG-AFTRA, 0.999999761581
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.1 copy, SAG-AFTRA, 0.997697919607
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.8, Unclassified, 0.201703935862
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.12, SAG-AFTRA, 0.974207699299
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.2, Unclassified, 0.868097662926
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.11, SAG-AFTRA, 0.997054100037
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.6, Unclassified, 0.558591425419
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.9, SAG-AFTRA, 0.967713147402
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.15, SAG-AFTRA, 0.999999761581
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.4, SAG-AFTRA, 0.986643731594
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.10, SAG-AFTRA, 0.998755931854
Apr-29-08:47, /home/navneet/test/gcs-bucket/sampleeob/SAG-AFTRA/SAG.3, Unclassified, 0.506883740425
